Disease,Symptoms,doctor_id,
Tuberculosis,chills vomiting fatigue weight loss cough high fever breathlessness sweating loss of appetite mild fever yellowing of eyes swelled lymph nodes malaise phlegm chest pain blood in sputum,
Fungal infection,itching skin rash nodal skin eruptions dischromic  patches,
Peptic ulcer disease,vomiting indigestion loss of appetite abdominal pain passage of gases internal itching,
Diabetes,fatigue weight loss restlessness lethargy irregular sugar level blurred and distorted vision obesity excessive hunger increased appetite polyuria,
Bronchial Asthma,fatigue cough high fever breathlessness family history mucoid sputum,
Hypertension,headache chest pain dizziness loss of balance lack of concentration,
Jaundice,itching vomiting fatigue weight loss high fever yellowish skin dark urine abdominal pain,
Malaria,chills vomiting high fever sweating headache nausea diarrhoea muscle pain,
Chicken pox,itching skin rash fatigue lethargy high fever headache loss of appetite mild fever swelled lymph nodes malaise red spots over body,
Typhoid,chills vomiting fatigue high fever headache nausea constipation abdominal pain diarrhoea toxic look (typhos),
Common Cold,continuous sneezing chills fatigue cough high fever headache swelled lymph nodes malaise phlegm throat irritation redness of eyes sinus pressure runny nose congestion chest pain loss of smell muscle pain,
Pneumonia,chills fatigue cough high fever breathlessness sweating malaise phlegm chest pain fast heart rate rusty sputum,
Migraine,acidity indigestion headache blurred and distorted vision excessive hunger stiff neck depression irritability visual disturbances,
AIDS,muscle wasting patches in throat high fever extra marital contacts,
Urinary tract infection,burning micturition bladder discomfort foul smell of urine continuous feel of urine,
Dengue,skin rash chills joint pain vomiting high fever headache nausea loss of appetite pain behind the eyes back pain malaise muscle pain red spots over body,
Acne,skin rash pus filled pimples blackheads scurring,
